latitude,longitude,flu_season,mean_temp_C,mean_humidity_percent,days_observed,mean_temp_F
41.7550085,-73.7399512,2023,6.216049383,69.55144033,243,43.18888889
41.7550085,-73.7399512,2024,6.123360656,72.84836066,244,43.02204918
41.7550085,-73.7399512,2025,5.132921811,68.17695473,243,41.23925926
41.7550085,-73.7399512,2026,0.750967742,70.44516129,155,33.35174194
41.9472321,-74.265447,2010,4.867489712,73.48148148,243,40.76148148
41.9472321,-74.265447,2011,3.596707819,73.69547325,243,38.47407407
41.9472321,-74.265447,2012,6.594672131,71.47540984,244,43.87040984
41.9472321,-74.265447,2013,4.216872428,73.03292181,243,39.59037037
41.9472321,-74.265447,2014,2.628806584,71.38683128,243,36.73185185
41.9472321,-74.265447,2015,2.912345679,70.9382716,243,37.24222222
41.9472321,-74.265447,2016,6.079508197,69.31967213,244,42.94311475
41.9472321,-74.265447,2017,5.129218107,71.95061728,243,41.23259259
41.9472321,-74.265447,2018,4.340740741,71.33744856,243,39.81333333
41.9472321,-74.265447,2019,3.935390947,72.52674897,243,39.0837037
41.9472321,-74.265447,2020,4.956967213,69.72131148,244,40.92254098
41.9472321,-74.265447,2021,5.201646091,69.99176955,243,41.36296296
41.9472321,-74.265447,2022,5.217283951,70.42798354,243,41.39111111
41.9472321,-74.265447,2023,6.057613169,69.13168724,243,42.9037037
41.9472321,-74.265447,2024,6.255737705,72.33196721,244,43.26032787
41.9472321,-74.265447,2025,4.739506173,70.83539095,243,40.53111111
41.9472321,-74.265447,2026,0.74516129,71.65806452,155,33.34129032
42.1256,-76.3637,2010,4.216049383,72.51440329,243,39.58888889
42.1256,-76.3637,2011,2.611934156,74.77366255,243,36.70148148
42.1256,-76.3637,2012,5.89795082,71.18032787,244,42.61631148
42.1256,-76.3637,2013,3.626337449,72.08641975,243,38.52740741
42.1256,-76.3637,2014,1.838683128,70.3909465,243,35.30962963
42.1256,-76.3637,2015,2.219341564,70.08641975,243,35.99481481
42.1256,-76.3637,2016,5.144262295,69.61885246,244,41.25967213
42.1256,-76.3637,2017,4.553909465,73.32921811,243,40.19703704
42.1256,-76.3637,2018,3.376131687,71.64609053,243,38.07703704
